CONSTRUCTION	PP	CONCRETENESS
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	yes	abstract
V_DO_PRT	no	concrete
V_DO_PRT	yes	abstract
V_DO_PRT	no	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	yes	concrete
V_PRT_DO	no	abstract
V_PRT_DO	yes	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	concrete
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_PRT_DO	no	concrete
V_PRT_DO	no	abstract
V_DO_PRT	yes	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	abstract
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	yes	abstract
V_DO_PRT	no	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	abstract
V_DO_PRT	yes	abstract
V_DO_PRT	no	abstract
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	yes	abstract
V_DO_PRT	yes	concrete
V_DO_PRT	no	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	yes	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	yes	concrete
V_DO_PRT	yes	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	abstract
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
V_DO_PRT	no	concrete
